id,content,sender,sentTime
1,안녕하세요!,p83,2024-12-12 19:23:35
2,안녕하세요 !!,p84,2024-12-12 19:23:57
3,안녕하세용!!,p82,2024-12-12 19:24:10
4,안녕하세욥!,p81,2024-12-12 19:24:15
5,저는 대강 검토 완료했습니다! 다들 편하게 말씀 주세용,p83,2024-12-12 19:26:23
6,저도 대강 검토 완료했습니다!,p82,2024-12-12 19:27:06
7,저도 완료했습니다!,p81,2024-12-12 19:27:40
8,저도 완료했습니다 !,p84,2024-12-12 19:27:46
9,혹시 고객 안정성이랑 경쟁력 강화 중에 어떤 점을 더 중요하게 보셨나요?,p83,2024-12-12 19:28:33
10,저는 고객 안정성을 조금 더 중요하게 본 것 같습니다.,p82,2024-12-12 19:30:06
11,고객이 프로젝트의 안정적 진행을 위해 검증된 파트너와의 협력을 선호한다는 의견을 전달해왔다는 걸 무시하지 못할 것 같네요..!,p82,2024-12-12 19:30:38
12,저는 고객 안정성이 좀 더 중요한 것 같아요. 상황이 경쟁력 강화도 있지만 고객이 프로젝트의 안정적 진행을 원하는 것 같아서요.,p81,2024-12-12 19:30:39
13,저는 경쟁력 강화가 더 중요하다고 생각합니다,p84,2024-12-12 19:31:02
14,저는 주요 고객이 연결되어 있어서 안정성을 중요하게 봤습니다!,p83,2024-12-12 19:31:15
15,그렇게 생각하신 이유가 궁금해요~p84님!,p81,2024-12-12 19:31:25
16,안정성도 중요하지만,p84,2024-12-12 19:31:40
17,회사가 경쟁력 강화를 원한다고 있고,p84,2024-12-12 19:31:55
18,업체 중 안정성 입증은 부족하지만,p84,2024-12-12 19:32:04
19,경쟁력으로 월등한 업체가 눈에 잘 들어와서,p84,2024-12-12 19:32:16
20,그렇게 생각했습니다,p84,2024-12-12 19:32:20
21,2번 말씀하시는 건가요?,p83,2024-12-12 19:32:40
22,맞아요~저도 처음엔 그래서 더 끌렸거든요~그럼 위험부담을 줄일 수 있는 방법이 있을까요?,p81,2024-12-12 19:32:59
23,네네 2번 말씀하시는 것 같아요~앗 혹시 3번이신가요?,p81,2024-12-12 19:33:40
24,2번 맞습니다 ! 협업기간을 짧게 가져가면서 상황을 지켜보면 부담이 적을 것 같습니다,p84,2024-12-12 19:34:01
25,저도 2번이 제일 매력적이긴 했어요,p83,2024-12-12 19:34:29
26,국가 단위로 수상도 하고 ㅎㅎ,p83,2024-12-12 19:34:37
27,다만 너무 협업 이력이 부족하다는 게 두렵긴 하네요 ㅎㅎ,p82,2024-12-12 19:35:07
28,고객들이 불안해하는 이슈가 발생하긴 하겠네요,p83,2024-12-12 19:35:09
29,네네,p83,2024-12-12 19:35:11
30,근데 궁금한게 수상실적은 있는데 완료한 프로젝트가 없다는 게 어떤 상황인 걸까요?,p81,2024-12-12 19:35:13
31,2번 상황이요~,p81,2024-12-12 19:35:19
32,저는 우리 회사랑 완료한 프로젝트가 없나? 이렇게 해석했어요,p83,2024-12-12 19:35:32
33,저도 그렇게 해석했어요,p82,2024-12-12 19:35:36
34,협업을 해본 경험이 없는 회사에다 직원수도 적어서 약간 지연 가능성이 있지 않을까 조심스레 생각해 봅니다.,p82,2024-12-12 19:36:03
35,그럼 업체 3은 어떨까요?,p83,2024-12-12 19:36:25
36,저희 슬로건대로 두 마리 토끼를 잡을 수 있는... ㅎㅎ,p83,2024-12-12 19:36:33
37,"그쵸 저도 슬로건 생각했는데, 안정성과 경쟁력을 어느 정도 다 같이 잡을 수 있는 3번 괜찮을 것 같은데...! 다른 분들은 어떠실까요?",p82,2024-12-12 19:37:00
38,저도 3번이 가장 좋은 것 같아요~,p81,2024-12-12 19:37:15
39,3번이 가장 무난하다고 생각합니다 !,p84,2024-12-12 19:37:27
40,1번은 익숙한만큼 결과를 낼 수 있는 것도 비슷할 거라고 생각해요~,p81,2024-12-12 19:37:52
41,좋습니다~,p83,2024-12-12 19:37:52
42,네네 맞아요 평점도 4 아래라서 끌리지 않네요,p83,2024-12-12 19:38:12
43,저는 3번이 괜찮은 절충안이라는 생각이 들어서 3번 좋습니다!,p82,2024-12-12 19:38:18
44,그럼 3번으로 정할까요?,p81,2024-12-12 19:38:55
45,넵,p84,2024-12-12 19:38:59
46,좋습니당,p82,2024-12-12 19:39:07
47,"<div><span style=""font-size: 15.04px;"">- 최종 결정된 선택지: 업체 3</span></div><div><span style=""font-size: 15.04px;"">- 선택한 이유: 안정성과 경쟁력을 둘 다 잡기 위한 절충안</span></div>",p83,2024-12-12 19:39:09
48,추가 의견 주세요!,p83,2024-12-12 19:39:19
49,<div>딱 좋은 설명이라 맘에 들어요ㅎㅎ 절충안 업체</div>,p81,2024-12-12 19:39:36
50,너무 좋은데요?,p82,2024-12-12 19:39:45
51,잘 정리된 것 같아요,p82,2024-12-12 19:39:48
52,이대로 보고 올립시다 ㅎㅎ,p82,2024-12-12 19:39:54
53,좋습니다 ㅎㅎㅎ,p84,2024-12-12 19:39:59
54,넵!,p83,2024-12-12 19:40:01
55,땅땅땅! 좋습니다!,p81,2024-12-12 19:40:01
