id,content,sender,sentTime
1,공지 보셨죠? 이번에 하청업체 선정해야합니다.,p75,2024-12-14 09:48:22
2,네 이번 결정이 중요한 영향을 끼칠 것으로 생각되네요,p73,2024-12-14 09:49:11
3,저희 회사 프로세스 알고 있는 회사랑 일하는 게,p75,2024-12-14 09:49:18
4,이번에도 세 후보가 각자 강점이 달라 고민이 됩니다..!,p76,2024-12-14 09:49:32
5,음 그러게요&nbsp;,p73,2024-12-14 09:49:45
6,"정말 편하고, 불필요한 미팅이 없다는 점에서 업체 1이 충분히 설득력 있어보여요~",p75,2024-12-14 09:49:52
7,사실 업체 1이 안정적이어 보이기는 합니다.&nbsp;,p73,2024-12-14 09:49:55
8,매번 알려주려고 미팅하면 ... 다른 일을 못하잖아요?,p75,2024-12-14 09:50:09
9,저도 대규모 사업이다 보니 업체 1이 제일 적합한거 같네요,p74,2024-12-14 09:50:19
10,"2,3업체의 경우 협업기간이 너무 짧아서 위험 요소가 많고 초반에 서로 프로세스 맞추는 작업에서 리소스가 조금 낭비될거 같아요,",p73,2024-12-14 09:50:36
11,저도 Jay님과 동일합니다~,p75,2024-12-14 09:50:51
12,치즈케익님은,p73,2024-12-14 09:51:02
13,어떻게 생각하시나요!,p73,2024-12-14 09:51:06
14,협업 기간 면에서는 1번 후보가 적합하다는 생각에 동의하나 대규모 프로젝트이니 만큼 업체의 역량도 중요하다고 생각합니다..!,p76,2024-12-14 09:51:36
15,데빌씨는 어떤가요?,p74,2024-12-14 09:52:03
16,"그것도 맞죠, 그런데 81점이면 그래도 상위권 아닐까요?",p75,2024-12-14 09:52:10
17,이번에 데빌이는 없데요!,p73,2024-12-14 09:52:11
18,아 글쿰요,p74,2024-12-14 09:52:22
19,업체 2가 성과 점수는 높으나 완료한 프로젝트가 없어서,p73,2024-12-14 09:52:43
20,해당 성과가 프로젝트를 잘 완료했는가와는 상관이 없어보여서,p73,2024-12-14 09:52:57
21,저희는 하청업체에게 가장 기대하는 부분은 저희와의 신뢰라고 생각도 드네요,p73,2024-12-14 09:53:18
22,그쵸,p75,2024-12-14 09:53:55
23,고객피드백이,p73,2024-12-14 09:54:31
24,가장 낮은 부분도 신뢰도에 영향을 끼칠 것으로 보입니다!,p73,2024-12-14 09:54:45
25,넵 저도 동의합니다. 하지만 1번 업체와 협업을 하였을 떄 가시적인 성과를 낼 수 있을지는 조금 의문이 듭니다. 현재 회사가 불안정한 만큼 업체의 역량도 무시하지는 못할 것 같습니다!,p76,2024-12-14 09:54:51
26,저희 하청업체의 활용 방안에 대해서도 아마 중요한 결정들이나 방향들은,p73,2024-12-14 09:55:33
27,저희가 잡고 업무를 제공해주는 방식이라,p73,2024-12-14 09:55:40
28,고객의 피득백이 성과를 증명하고 있다고 봅니다,p75,2024-12-14 09:56:05
29,Jay님 말씀하신것처럼 RFI는 저희가 작성할테니,p75,2024-12-14 09:56:20
30,그럼 저희 최종 결정 부분들을 각자 의견 내볼까요,p73,2024-12-14 09:56:56
31,예,p75,2024-12-14 09:57:02
32,1번,p74,2024-12-14 09:57:10
33,"업체 1 - 고객의 피드백이 가장 긍정적이고, 현재 저희와 협업기간이 길어 프로젝트를 잘 완료하고 수행하는데 합이 잘 맞을 것으로 기대함",p73,2024-12-14 09:58:01
34,저 보이시나요?,p74,2024-12-14 09:58:36
35,넵! 보입니다,p73,2024-12-14 09:58:42
36,저희 각자 생각하는 최종 결정,p73,2024-12-14 09:59:07
37,"업체1: 프로세스 및 프로젝트 일정을 알고 있고, 순조로운 협업이 가능한 회사는 성과점수와 고객의 피드백에서 증명하고 있음을 보여줌. 또한 당사와의 협업이력이 다른 업체보다 많으므로 최적의 파트너를 증명하고 있음.",p75,2024-12-14 09:59:09
38,공유하고 있었습니다!,p73,2024-12-14 09:59:15
39,"1번, 높은 피드백으로 유기적인 프로젝트가 가능할것으로 보임",p74,2024-12-14 09:59:23
40,네 저도 이런 의견입니다,p74,2024-12-14 09:59:29
