id,content,sender,sentTime
1,안녕하세요,p93,2024-12-16 10:53:41
2,안녕하세요.,p94,2024-12-16 10:53:47
3,안녕하세요,p96,2024-12-16 10:53:51
4,안녕하세요,p95,2024-12-16 10:54:16
5,저는 아까와 같은 이유로 3번이요,p95,2024-12-16 10:58:59
6,이번 과제는 어렵네요... 주어진 자료만으로 사람 평가하는게 저는 사실 어렵다고 생각해요,p93,2024-12-16 10:58:59
7,"저는 후보자 1을 승진시키는 것이 좋다고 생각합니다.<br>사실 후보자 2의 경력과 수상 이력이 회사 일에 정말 열정적이었겠다 생각들지만, 사내 평판이 좋지 않습니다.<br>팀장은 팀원을 이끌어야하는데 이부분에서 2는 적합하지 않다고 생각듭니다.<br>",p94,2024-12-16 10:59:04
8,"하지만 1의 경우 수상 횟수는 없지만 사내 평판이 가장 좋고 경력이 오래되어 후보 2,3의 부족한 면을 노련하게 이끌수 있지 않을까 싶습니다.",p94,2024-12-16 10:59:39
9,네 저도 2는 별로입니다. 막중한 직책을 맡기에 연륜이 부족해요,p93,2024-12-16 11:00:07
10,3번도좋아보입니다,p94,2024-12-16 11:00:12
11,하지만 기술에 대해서도 어느정도 아는게 낫지 않을까요? 학사보다는 석사가 나은 거 같아요,p95,2024-12-16 11:00:21
12,팀장은 팀원들을 이끄는 리더십도 중요하지만 결정권자이기 때문에 수상경력이 있는 3번 후보자를 승진시키는 것이 좋다고 생각합니다,p96,2024-12-16 11:00:22
13,네 동의합니다.,p94,2024-12-16 11:00:35
14,튜브님은 3번 후보자 어떻게 생각하시나요?,p94,2024-12-16 11:01:08
15,3번에 동의합니다. 수치상으로 1번에 밀리지만 그게 인사평가에 영향을 미칠 요소들이 아니고 근무 6년에 나쁘지않은 평판이라면 앞으로도 잘 하실 것 같아요,p93,2024-12-16 11:01:36
16,3번으로 확정할까요? 모두 동의하시나요?,p94,2024-12-16 11:02:06
17,네 동의합니다,p96,2024-12-16 11:02:19
18,넵,p93,2024-12-16 11:02:20
19,재직기간이 길다는게 메리트가 될 수 없다고 생각하는 입장이기도 합니다&nbsp;,p93,2024-12-16 11:02:44
20,네 좋습니다,p95,2024-12-16 11:03:31
