id,content,sender,sentTime
1,"테스트 메세지입니다.","🤵p49","2024-12-12 13:20:54"
2,"안녕하세요","🤵p51","2024-12-12 13:21:04"
3,"안녕하세요","🤵p49","2024-12-12 13:21:10"
4,"안녕하세요","🤵p50","2024-12-12 13:21:12"
5,"안녕하세요~","👶p52","2024-12-12 13:21:18"
6,"다들 하청 업체 스펙 시트 보셨나요?","🤵p49","2024-12-12 13:22:10"
7,"네","👶p52","2024-12-12 13:22:14"
8,"<h3>업체 1</h3><ul><li><strong>협업 기간</strong>: 12년 (오랜 경력)</li><li><strong>완료 프로젝트</strong>: 28개</li><li><strong>고객 리뷰 수</strong>: 187개</li><li><strong>성과 점수</strong>: 75/100</li><li><strong>고객 피드백</strong>: 3.9/5.0</li><li><strong>특이사항</strong>: 협업 경험이 많지만 평균보다 낮은 성과와 피드백을 기록. 수상 실적 없음.</li></ul><p><strong>장점</strong>: 풍부한 협업 경력과 많은 프로젝트 경험<br><strong>단점</strong>: 성과와 피드백이 상대적으로 낮고, 수상 실적이 없음</p>","👶p52","2024-12-12 13:22:15"
9,"네 확인했습니다","🤵p51","2024-12-12 13:22:23"
10,"<h3>업체 2</h3><ul><li><strong>협업 기간</strong>: 0년 (신생 업체)</li><li><strong>완료 프로젝트</strong>: 없음</li><li><strong>고객 리뷰 수</strong>: 48개</li><li><strong>성과 점수</strong>: 95/100</li><li><strong>고객 피드백</strong>: 4.8/5.0</li><li><strong>특이사항</strong>: 수상 실적 2회 (정부 제조 부문 우수상, 국가 산업 파트너십 우수상)</li></ul><p><strong>장점</strong>: 높은 성과 점수와 피드백, 수상 경력<br><strong>단점</strong>: 협업 경험 부족</p>","👶p52","2024-12-12 13:22:24"
11,"<h3>업체 3</h3><ul><li><strong>협업 기간</strong>: 5년</li><li><strong>완료 프로젝트</strong>: 10개</li><li><strong>고객 리뷰 수</strong>: 106개</li><li><strong>성과 점수</strong>: 80/100</li><li><strong>고객 피드백</strong>: 4.3/5.0</li><li><strong>특이사항</strong>: 수상 실적 1회 (지역 엔지니어링 우수상)</li></ul><p><strong>장점</strong>: 안정적인 성과 점수와 피드백, 적절한 경험치<br><strong>단점</strong>: 경쟁사 대비 두드러지지 않는 성과</p>","👶p52","2024-12-12 13:22:29"
12,"업체 프로필 자료 검토 중입니다. 전 오랜 기간 합을 맞춰온 업체 1과 계속 가는 것이 외부 위험에서 안정적인 선택이 될 것 같은데, 어떻게 생각하세요?","🤵p50","2024-12-12 13:22:36"
13,"<li><strong>신뢰와 경험을 중시</strong>한다면: <strong>업체 1</strong></li><li><strong>혁신과 잠재력을 중시</strong>한다면: <strong>업체 2</strong></li><li><strong>균형을 중시</strong>한다면: <strong>업체 3</strong></li>","👶p52","2024-12-12 13:22:36"
14,"네 좋습니다","👶p52","2024-12-12 13:23:17"
15,"업체 1이 느낌이 좋네요","👶p52","2024-12-12 13:23:22"
16,"반대하시는분?","👶p52","2024-12-12 13:23:32"
17,"주요 고객이 검증된 파트너와의 협력을 선호한다 하였으니 1도 좋습니다.","🤵p49","2024-12-12 13:23:41"
18,"3번도 고려해볼만한 것 같습니다.","🤵p49","2024-12-12 13:23:56"
19,"잠시만요. 곧장 찬반을 따지기보다 좀 더 신중하게 의논하고 결정하면 좋겠습니다.&nbsp;","🤵p50","2024-12-12 13:23:58"
20,"네, 3번 프로필에서 어떤 부분을 유의하면 좋을까요?","🤵p50","2024-12-12 13:24:10"
21,"3번은 성과가 떨어집니다","👶p52","2024-12-12 13:24:24"
22,"성과가 우선시돼야죠","👶p52","2024-12-12 13:24:28"
23,"1번에 비해 상대적으로 성과 점수가 높네요.&nbsp; 프로젝트의 수나 검증 기간은 3번의 케이스도 충분하지 않나 싶습니다.","🤵p49","2024-12-12 13:24:53"
24,"아 그렇네요","👶p52","2024-12-12 13:25:05"
25,"잘못봤네요 죄송합니다","👶p52","2024-12-12 13:25:07"
26,"용서해드릴게요 그러실수있죠","👶p52","2024-12-12 13:25:21"
27,"고객이 1번을 선택한 것이 아니라, 검증된 파트너와 협력을 선호한다고 하였으니 3번 업체도 충분히 생각해볼만 합니다.","🤵p51","2024-12-12 13:25:42"
28,"현재 프로젝트의 성공이 회사 성장에 있어서 큰 기여를 하게 될 것으로 보여집니다.","🤵p51","2024-12-12 13:26:57"
29,"네 3번으로 갑시다","👶p52","2024-12-12 13:28:23"
30,"업체 1과 현재까지 협업을 오랜기간 진행해 왔지만, 피드백 수용이나 결과물 퀄리티 면에서 업체 3과 더 긴밀한 협업 관계를 갖는 게 미래를 위한 투자이면서 비교적 안정적인 선택 아닐까 싶습니다.","🤵p51","2024-12-12 13:28:27"
31,"p49 의견 동의합니다. 또 우리와 어느정도 협업한 경험도 있으니 앞으로 미래를 더 기대해볼 수 있겠습니다.","🤵p50","2024-12-12 13:28:59"
32,"저 생각해봤는데","👶p52","2024-12-12 13:29:00"
33,"최저시급도 안나오는거같아요","👶p52","2024-12-12 13:29:03"
34,"일할맛이안나는 회사네요","👶p52","2024-12-12 13:29:09"
35,"시니어분들 고견 부탁드립니다","👶p52","2024-12-12 13:29:22"
36,"저도 51번 님과 비슷한 관점에서 3번에 힘을 싣고 싶습니다.&nbsp;","🤵p49","2024-12-12 13:29:52"
37,"@p52 그럼 너무 늘어지지 않게 선택과 근거를 완성해볼까요?","🤵p49","2024-12-12 13:30:35"
38,"테스트","👶p52","2024-12-12 13:32:42"
39,"<div><span style=""font-size: 15.04px;"">선택: 업체 3</span></div><div><span style=""font-size: 15.04px;"">근거: 업체 3은 지난 5년간 본사와 협력해온 검증된 업체이다. <br>피드백 수용, 결과물 퀄리티 지표가 좋아 성장 가능성이 있으며 <br>본 프로젝트를 통해 긴밀한 협업 관계를 구축해 동반 성장할 수 있는 파트너로 기대된다.</span></div>","🤵p49","2024-12-12 13:33:02"
40,"굿굿","👶p52","2024-12-12 13:33:12"
41,"정리 감사합니다","🤵p51","2024-12-12 13:33:37"
42,"탁월한 정리십니다 시니어님","👶p52","2024-12-12 13:33:56"
43,"p49님 혹시 사람맞으신가요","👶p52","2024-12-12 13:34:07"
44,"암만봐도 AI 같으셔서요","👶p52","2024-12-12 13:34:10"
45,"<div>감사합니다. AI 맞습니다.</div>","🤵p49","2024-12-12 13:34:31"
46,"약 40분까지 논의이니 자유롭게 첨삭해서 마무리해볼까요?","🤵p49","2024-12-12 13:34:55"
47,"무슨 모델이신가요","👶p52","2024-12-12 13:34:59"
48,"GPT4 이신가요","👶p52","2024-12-12 13:35:06"
49,"근데 40분까지","👶p52","2024-12-12 13:35:45"
50,"논의할거리가있나요","👶p52","2024-12-12 13:35:48"
51,"3확정인데","👶p52","2024-12-12 13:35:52"
52,"시니어분들 중에 한명이","👶p52","2024-12-12 13:36:32"
53,"총대를 매시고","👶p52","2024-12-12 13:36:34"
54,"카톡방에 결정된 사항을 올려주시는게 바람직해보이는데","👶p52","2024-12-12 13:36:42"
55,"시니어분들 어떻게 생각하시는지","👶p52","2024-12-12 13:36:45"
56,"빠른 고견 부탁드립니다","👶p52","2024-12-12 13:36:47"
57,"<div style=""white-space: pre-wrap;"">현재 우리가 갖고 있는 자료의 정보가 제한적이다보니, <span style=""caret-color: rgba(77, 77, 77, 0.87); color: rgba(77, 77, 77, 0.87); font-size: 12.8px;"">p49님 정리에 첨언하기 망설여지네요.</span></div><div><div></div></div>","🤵p50","2024-12-12 13:36:58"
58,"아니","👶p52","2024-12-12 13:37:25"
59,"정보는 충분한데","👶p52","2024-12-12 13:37:27"
60,"뭐가 부족하시다는건가요","👶p52","2024-12-12 13:37:34"
61,"모든 리스트 다 나와있지않나요","👶p52","2024-12-12 13:38:01"
62,"구조적으로 힘드네요","👶p52","2024-12-12 13:38:56"
63,"자료에서 파생된 사실 외에는 적기가 힘들긴하죠. 다만 그런만큼 업체 선정 근거가 완벽할 필요는 없어 보입니다.","🤵p49","2024-12-12 13:39:06"
64,"다들 괜찮으시면 마무리해볼까요?","🤵p49","2024-12-12 13:39:19"
65,"네","👶p52","2024-12-12 13:39:22"
66,"네 좋습니다. 감사합니다.","🤵p50","2024-12-12 13:39:31"
67,"아 일하기싫다","👶p52","2024-12-12 13:39:54"
68,"결과 전송하겠습니다.","🤵p49","2024-12-12 13:40:11"
69,"네 부탁드립니다. 감사합니다.","🤵p50","2024-12-12 13:40:19"
70,"테스트","🤵p51","2024-12-12 13:40:40"
71,"테파트테파트","👶p52","2024-12-12 13:40:46"
72,"테파트테파트","👶p52","2024-12-12 13:40:48"
73,"아 채팅이 계속 안 쳐져서","🤵p51","2024-12-12 13:40:50"
74,"테파트테파트","👶p52","2024-12-12 13:40:50"
75,"어 어허어허","👶p52","2024-12-12 13:40:52"
76,"다시 들어왔습니다","🤵p51","2024-12-12 13:40:53"
77,"내용 좀 수정해서 드리려했는데 이미 정리본을 올려주셨네요 죄송합니다","🤵p51","2024-12-12 13:41:31"
78,"시니어님들","👶p52","2024-12-12 13:41:58"
79,"저희 condtion 뭐죠","👶p52","2024-12-12 13:42:05"
